1/beta	E	M	C	X
0.5	-2025	9.02268e+07	8.14089e+15	0	0
0.501253	-2025	9.02268e+07	8.14089e+15	0	0
0.502513	-2025	9.02268e+07	8.14089e+15	0	0
0.503778	-2025	9.02268e+07	8.14089e+15	0	0
0.505051	-2025	9.02268e+07	8.14089e+15	0	0
0.506329	-2025	9.02268e+07	8.14089e+15	0	0
0.507614	-2025	9.02268e+07	8.14089e+15	0	0
0.508906	-2025	9.02268e+07	8.14089e+15	0	0
0.510204	-2025	9.02268e+07	8.14089e+15	0	0
0.511509	-2025	9.02268e+07	8.14089e+15	0	0
0.512821	-2025	9.02268e+07	8.14089e+15	0	0
0.514139	-2025	9.02268e+07	8.14089e+15	0	0
0.515464	-2025	9.02268e+07	8.14089e+15	0	0
0.516796	-2025	9.02268e+07	8.14089e+15	0	0
0.518135	-2025	9.02268e+07	8.14089e+15	0	0
0.519481	-2025	9.02268e+07	8.14089e+15	0	0
0.520833	-2025	9.02268e+07	8.14089e+15	0	0
0.522193	-2025	9.02268e+07	8.14089e+15	0	0
0.52356	-2025	9.02268e+07	8.14089e+15	0	0
0.524934	-2025	9.02268e+07	8.14089e+15	0	0
0.526316	-2025	9.02268e+07	8.14089e+15	0	0
0.527704	-2025	9.02268e+07	8.14089e+15	0	0
0.529101	-2025	9.02268e+07	8.14089e+15	0	0
0.530504	-2025	9.02268e+07	8.14089e+15	0	0
0.531915	-2025	9.02268e+07	8.14089e+15	0	0
0.533333	-2025	9.02268e+07	8.14089e+15	0	0
0.534759	-2025	9.02268e+07	8.14089e+15	0	0
0.536193	-2025	9.02268e+07	8.14089e+15	0	0
0.537634	-2025	9.02268e+07	8.14089e+15	0	0
0.539084	-2025	9.02268e+07	8.14089e+15	0	0
0.540541	-2025	9.02268e+07	8.14089e+15	0	0
0.542005	-2025	9.02268e+07	8.14089e+15	0	0
0.543478	-2025	9.02268e+07	8.14089e+15	0	0
0.544959	-2025	9.02268e+07	8.14089e+15	0	0
0.546448	-2025	9.02268e+07	8.14089e+15	0	0
0.547945	-2025	9.02268e+07	8.14089e+15	0	0
0.549451	-2025	9.02268e+07	8.14089e+15	0	0
0.550964	-2025	9.02268e+07	8.14089e+15	0	0
0.552486	-2025	9.02268e+07	8.14089e+15	0	0
0.554017	-2025	9.02268e+07	8.14089e+15	0	0
0.555556	-2025	9.02268e+07	8.14089e+15	0	0
0.557103	-2025	9.02268e+07	8.14089e+15	0	0
0.558659	-2025	9.02268e+07	8.14089e+15	0	0
0.560224	-2025	9.02268e+07	8.14089e+15	0	0
0.561798	-2025	9.02268e+07	8.14089e+15	0	0
0.56338	-2025	9.02268e+07	8.14089e+15	0	0
0.564972	-2025	9.02268e+07	8.14089e+15	0	0
0.566572	-2025	9.02268e+07	8.14089e+15	0	0
0.568182	-2025	9.02268e+07	8.14089e+15	0	0
0.569801	-2025	9.02268e+07	8.14089e+15	0	0
0.571429	-2025	9.02268e+07	8.14089e+15	0	0
0.573066	-2025	9.02268e+07	8.14089e+15	0	0
0.574713	-2025	9.02268e+07	8.14089e+15	0	0
0.576369	-2025	9.02268e+07	8.14089e+15	0	0
0.578035	-2025	9.02268e+07	8.14089e+15	0	0
0.57971	-2025	9.02268e+07	8.14089e+15	0	0
0.581395	-2025	9.02268e+07	8.14089e+15	0	0
0.58309	-2025	9.02268e+07	8.14089e+15	0	0
0.584795	-2025	9.02268e+07	8.14089e+15	0	0
0.58651	-2025	9.02268e+07	8.14089e+15	0	0
0.588235	-2025	9.02268e+07	8.14089e+15	0	0
0.589971	-2025	9.02268e+07	8.14089e+15	0	0
