1/beta	E	M	C	X
0.5	-1800	9.02268e+07	8.14089e+15	0	0
0.501253	-1800	9.02268e+07	8.14089e+15	0	0
0.502513	-1800	9.02268e+07	8.14089e+15	0	0
0.503778	-1800	9.02268e+07	8.14089e+15	0	0
0.505051	-1800	9.02268e+07	8.14089e+15	0	0
0.506329	-1800	9.02268e+07	8.14089e+15	0	0
0.507614	-1800	9.02268e+07	8.14089e+15	0	0
0.508906	-1800	9.02268e+07	8.14089e+15	0	0
0.510204	-1800	9.02268e+07	8.14089e+15	0	0
0.511509	-1800	9.02268e+07	8.14089e+15	0	0
0.512821	-1800	9.02268e+07	8.14089e+15	0	0
0.514139	-1800	9.02268e+07	8.14089e+15	0	0
0.515464	-1800	9.02268e+07	8.14089e+15	0	0
0.516796	-1800	9.02268e+07	8.14089e+15	0	0
0.518135	-1800	9.02268e+07	8.14089e+15	0	0
0.519481	-1800	9.02268e+07	8.14089e+15	0	0
0.520833	-1800	9.02268e+07	8.14089e+15	0	0
0.522193	-1800	9.02268e+07	8.14089e+15	0	0
0.52356	-1800	9.02268e+07	8.14089e+15	0	0
0.524934	-1800	9.02268e+07	8.14089e+15	0	0
0.526316	-1800	9.02268e+07	8.14089e+15	0	0
0.527704	-1800	9.02268e+07	8.14089e+15	0	0
0.529101	-1800	9.02268e+07	8.14089e+15	0	0
0.530504	-1800	9.02268e+07	8.14089e+15	0	0
0.531915	-1800	9.02268e+07	8.14089e+15	0	0
0.533333	-1800	9.02268e+07	8.14089e+15	0	0
0.534759	-1800	9.02268e+07	8.14089e+15	0	0
0.536193	-1800	9.02268e+07	8.14089e+15	0	0
0.537634	-1800	9.02268e+07	8.14089e+15	0	0
0.539084	-1800	9.02268e+07	8.14089e+15	0	0
0.540541	-1800	9.02268e+07	8.14089e+15	0	0
0.542005	-1800	9.02268e+07	8.14089e+15	0	0
0.543478	-1800	9.02268e+07	8.14089e+15	0	0
0.544959	-1800	9.02268e+07	8.14089e+15	0	0
0.546448	-1800	9.02268e+07	8.14089e+15	0	0
0.547945	-1800	9.02268e+07	8.14089e+15	0	0
0.549451	-1800	9.02268e+07	8.14089e+15	0	0
0.550964	-1800	9.02268e+07	8.14089e+15	0	0
0.552486	-1800	9.02268e+07	8.14089e+15	0	0
0.554017	-1800	9.02268e+07	8.14089e+15	0	0
0.555556	-1800	9.02268e+07	8.14089e+15	0	0
0.557103	-1800	9.02268e+07	8.14089e+15	0	0
0.558659	-1800	9.02268e+07	8.14089e+15	0	0
0.560224	-1800	9.02268e+07	8.14089e+15	0	0
0.561798	-1800	9.02268e+07	8.14089e+15	0	0
0.56338	-1800	9.02268e+07	8.14089e+15	0	0
0.564972	-1800	9.02268e+07	8.14089e+15	0	0
0.566572	-1800	9.02268e+07	8.14089e+15	0	0
