uB	E	M	M2	C	X
-1	-5695.25	-0.824099	1698.5	0.721311	0.196656
-0.99	-5656.34	-0.821962	1689.68	0.682856	0.187567
-0.98	-5622.3	-0.820315	1682.96	0.717833	0.201932
-0.97	-5588.89	-0.81886	1676.94	0.651904	0.184416
-0.96	-5548.48	-0.816276	1666.45	0.713657	0.204415
-0.95	-5509.7	-0.814217	1658.08	0.734819	0.21152
-0.94	-5471.61	-0.812008	1649.11	0.730032	0.214569
-0.93	-5420.23	-0.807873	1632.42	0.756843	0.23287
-0.92	-5394.87	-0.807338	1630.23	0.742149	0.2236
-0.91	-5360.27	-0.805601	1623.21	0.720196	0.218882
-0.9	-5317.62	-0.80285	1612.22	0.775703	0.240044
-0.89	-5184.75	-0.789802	1560.12	0.722865	0.194963
-0.88	-5241.89	-0.798222	1593.68	0.742952	0.23664
-0.87	-5208.24	-0.796427	1586.56	0.75165	0.245467
-0.86	-5105.88	-0.787884	1552.65	0.926965	0.22396
-0.85	-5130.74	-0.791494	1567	0.755376	0.252564
-0.84	-5092.69	-0.789102	1557.62	0.825042	0.274899
-0.83	-5053.88	-0.786529	1547.48	0.794032	0.271964
-0.82	-5013.35	-0.78364	1536.11	0.754048	0.263343
-0.81	-4964.52	-0.779292	1519.16	0.762379	0.276936
-0.8	-4937.33	-0.778714	1516.93	0.772836	0.28102
-0.79	-4895.55	-0.775738	1505.37	0.787195	0.285632
-0.78	-4845.64	-0.771263	1488.1	0.789305	0.296185
-0.77	-4810.6	-0.769179	1480.07	0.780136	0.293531
-0.76	-4770.97	-0.766121	1468.36	0.762695	0.300403
-0.75	-4732.16	-0.763119	1456.9	0.785593	0.307909
-0.74	-4684.11	-0.759224	1442.12	0.790323	0.32121
-0.73	-4626.45	-0.752276	1415.94	0.803079	0.342945
-0.72	-4603.5	-0.753054	1418.78	0.758835	0.31721
-0.71	-4569.96	-0.750492	1409.23	0.800713	0.340588
-0.7	-4514.58	-0.745112	1389.13	0.801874	0.345398
-0.69	-4487.09	-0.743813	1384.3	0.790868	0.347275
-0.68	-4446.08	-0.739981	1370.18	0.826666	0.374001
-0.67	-4399.4	-0.73582	1354.85	0.835292	0.380547
-0.66	-4359.59	-0.732421	1342.37	0.813915	0.380194
-0.65	-4318.16	-0.728889	1329.5	0.828437	0.391206
-0.64	-4273.06	-0.724455	1313.42	0.81597	0.398373
-0.63	-4218.25	-0.718965	1293.3	0.72209	0.308453
-0.62	-4188.57	-0.716431	1284.58	0.819768	0.418839
-0.61	-4146.53	-0.712535	1270.67	0.799431	0.422889
-0.6	-4104.81	-0.708421	1256.14	0.85117	0.447681
-0.59	-4045.86	-0.702637	1235.44	0.659889	0.3577
-0.58	-4018.2	-0.69966	1225.24	0.774042	0.42943
-0.57	-3972.47	-0.694883	1208.72	0.826575	0.469004
-0.56	-3925.86	-0.689384	1189.72	0.810831	0.478373
-0.55	-3887.71	-0.685428	1176.13	0.805539	0.480612
-0.54	-3838.27	-0.679614	1156.35	0.808563	0.499206
-0.53	-3798.51	-0.675217	1141.55	0.830377	0.526295
-0.52	-3747.52	-0.669135	1121.2	0.864406	0.554141
-0.51	-3707.63	-0.664078	1104.3	0.795001	0.541431
-0.5	-3659.37	-0.658291	1085.23	0.802045	0.55828
-0.49	-3616.25	-0.652873	1067.6	0.841008	0.596092
-0.48	-3571.69	-0.647615	1050.45	0.832819	0.581846
-0.47	-3525.09	-0.641283	1030.2	0.82933	0.627255
-0.46	-3474.19	-0.633909	1006.73	0.820461	0.638774
-0.45	-3426.95	-0.627599	987.08	0.872777	0.71385
-0.44	-3396.03	-0.624084	975.906	0.823441	0.660903
-0.43	-3337.79	-0.614673	946.815	0.800888	0.677593
-0.42	-3294.42	-0.608133	926.921	0.807818	0.707125
-0.41	-3248.67	-0.601019	905.459	0.790357	0.720279
-0.4	-3201.39	-0.59336	882.707	0.791541	0.754693
-0.39	-3142.03	-0.582796	851.644	0.77353	0.754491
-0.38	-3102.15	-0.576981	834.902	0.776106	0.789863
-0.37	-3060.55	-0.570471	816.251	0.790625	0.797665
-0.36	-3013.61	-0.561714	791.676	0.767551	0.860886
-0.35	-2957.66	-0.550118	759.159	0.698307	0.774994
-0.34	-2915.74	-0.542408	738.44	0.739237	0.877325
-0.33	-2868.21	-0.533716	715.205	0.745963	0.921801
-0.32	-2826.19	-0.523417	687.718	0.632907	0.841641
-0.31	-2774.39	-0.513941	663.733	0.749341	1.01855
-0.3	-2726.8	-0.503675	637.745	0.740489	1.05733
-0.29	-2715.35	-0.505097	641.026	0.812809	0.965663
-0.28	-2635.41	-0.482827	586.557	0.704863	1.12537
-0.27	-2576.54	-0.467718	550.836	0.693355	1.18106
-0.26	-2540.36	-0.45979	532.261	0.658326	1.12332
-0.25	-2490.35	-0.444943	498.89	0.654355	1.18621
-0.24	-2453.05	-0.435033	477.48	0.64808	1.30378
-0.23	-2403.53	-0.421185	447.851	0.645819	1.3077
-0.22	-2358.06	-0.407736	420.338	0.648931	1.41492
-0.21	-2308.93	-0.391063	386.717	0.550616	1.3174
-0.2	-2269.62	-0.377885	361.761	0.58807	1.4304
-0.19	-2228.65	-0.364139	336.429	0.57122	1.48121
-0.18	-2184.8	-0.348011	307.812	0.540738	1.51016
-0.17	-2147.76	-0.334025	284.535	0.600947	1.6808
-0.16	-2106.53	-0.316878	256.611	0.514628	1.67483
-0.15	-2072.11	-0.300287	231.085	0.489423	1.69652
-0.14	-1949.17	-0.281411	198.391	0.0599419	0.123132
-0.13	-1997.72	-0.263386	179.867	0.461888	1.93117
-0.12	-1961.25	-0.243139	154.322	0.445996	1.95934
-0.11	-1932.15	-0.223417	131.002	0.412956	1.8642
-0.1	-1911.14	-0.210323	117.1	0.398235	1.95326
-0.09	-1885.71	-0.195153	101.897	0.382782	2.00583
-0.08	-1860.49	-0.17565	83.5182	0.360201	1.91588
-0.07	-1835.26	-0.15065	63.3972	0.344905	1.99763
-0.06	-1810.15	-0.123493	45.1328	0.326335	2.10191
-0.05	-1800.94	-0.106987	35.8362	0.312063	2.16613
-0.04	-1785.86	-0.0858117	25.4937	0.304537	2.12536
-0.03	-1785.71	-0.0731984	20.0013	0.31472	1.9819
-0.02	-1768.35	-0.0445483	11.8856	0.287858	2.07726
-0.01	-1764.9	-0.02172	8.43475	0.285394	2.17661
7.5287e-16	-1770.83	-0.00729717	6.74294	0.286634	1.98295
0.01	-1765.68	0.028567	8.94043	0.293399	2.07007
0.02	-1765.89	0.0447684	12.364	0.289542	2.20604
0.03	-1785.8	0.0892163	27.7128	0.2852	2.34417
0.04	-1765.87	0.0769384	21.777	0.248211	2.09346
0.05	-1795.93	0.108051	36.0248	0.301211	2.0511
0.06	-1814.19	0.128743	47.9853	0.33372	1.96459
0.07	-1834.36	0.149173	62.3846	0.355543	2.02591
0.08	-1860.14	0.174333	82.9351	0.372718	2.08648
0.09	-1874.51	0.183707	90.7991	0.366678	1.9284
0.1	-1906.27	0.210726	116.508	0.381364	1.64808
0.11	-1937.42	0.226014	133.776	0.404474	1.8209
0.12	-1970	0.248771	160.461	0.423309	1.72283
0.13	-2001.53	0.263659	180.439	0.476848	1.99466
0.14	-2036.18	0.28421	207.651	0.480162	1.71365
0.15	-2073.6	0.301508	232.703	0.484671	1.63066
0.16	-2111.81	0.318583	259.052	0.51601	1.59424
0.17	-2149.32	0.334127	284.311	0.523661	1.56228
0.18	-2197.76	0.349013	309.744	0.486483	1.56566
0.19	-2231.46	0.364598	337.399	0.58548	1.52111
