uB	E	M	M2	C	X
1	-7434.5	0.994625	2473.21	0.0953413	0.00697632
0.99	-7407.37	0.994449	2472.33	0.102357	0.00747086
0.98	-7376.32	0.993922	2469.72	0.115886	0.00861869
0.97	-7356.01	0.994308	2471.63	0.0981787	0.00715279
0.96	-7331.84	0.99437	2471.94	0.108303	0.0080019
0.95	-7303.91	0.994107	2470.64	0.112221	0.00832138
0.94	-7277.78	0.994	2470.1	0.110027	0.00825058
0.93	-7251.83	0.993905	2469.63	0.109699	0.00832726
0.92	-7226.08	0.993828	2469.25	0.112588	0.00855364
0.91	-7201.95	0.993888	2469.54	0.109752	0.00837344
0.9	-7175.07	0.993721	2468.72	0.107759	0.00821458
0.89	-7149.37	0.993644	2468.33	0.113333	0.00869549
0.88	-7124.13	0.993609	2468.16	0.125256	0.00965517
0.87	-7097.85	0.993492	2467.58	0.112928	0.00871952
0.86	-7071.48	0.993343	2466.84	0.11658	0.00915245
0.85	-7046.51	0.993331	2466.78	0.114501	0.00896475
0.84	-7020.98	0.993257	2466.42	0.124601	0.0099033
0.83	-6993.36	0.993022	2465.25	0.1187	0.00953899
0.82	-6971.84	0.993303	2466.65	0.129831	0.010384
0.81	-6942.79	0.992948	2464.88	0.119486	0.00964229
0.8	-6915.21	0.9927	2463.65	0.12953	0.0105092
0.79	-6889.87	0.99266	2463.45	0.125872	0.0102135
0.78	-6864.5	0.992603	2463.17	0.124986	0.0103758
0.77	-6840.41	0.992725	2463.77	0.0915674	0.00721487
0.76	-6812.26	0.99237	2462.01	0.130303	0.0107671
0.75	-6785.59	0.992202	2461.18	0.121367	0.0102089
0.74	-6758.09	0.991947	2459.91	0.120198	0.0103423
0.73	-6733.53	0.991972	2460.04	0.128971	0.0109668
0.72	-6708.18	0.991935	2459.85	0.129047	0.0109894
0.71	-6683.76	0.991992	2460.14	0.140475	0.0115501
0.7	-6658.11	0.99187	2459.54	0.143063	0.0127802
0.69	-6629.99	0.991578	2458.09	0.142163	0.0123451
0.68	-6602.86	0.991352	2456.96	0.135588	0.011956
0.67	-6548.21	0.98907	2445.65	0.0414625	0.00309787
0.66	-6550.62	0.991083	2455.64	0.158838	0.0143124
0.65	-6528.03	0.991316	2456.79	0.142571	0.0127716
