uB	E	M	M2	C	X
-1	-144	-1	16	0	0
-0.9	-142.4	-1	16	2.62013e-14	0
-0.8	-140.8	-1	16	-9.10383e-15	0
-0.7	-139.2	-1	16	-6.59472e-14	0
-0.6	-137.6	-1	16	-2.22045e-15	0
-0.5	-136	-1	16	0	0
-0.4	-134.4	-1	16	-5.90639e-14	0
-0.3	-132.8	-1	16	4.77396e-14	0
-0.2	-131.2	-1	16	1.04583e-13	0
-0.1	-129.6	-1	16	8.30447e-14	0
-1.38778e-16	-127.904	-0.998503	15.9551	0.0473305	0.00295816
0.1	-126.4	-1	16	-3.06977e-14	0
0.2	-124.765	-0.999424	15.9827	0.0165593	0.00114676
0.3	-108.756	0.999367	15.981	0.0232889	0.00125954
0.4	-134.4	1	16	-5.90639e-14	0
0.5	-136	1	16	0	0
0.6	-137.6	1	16	-2.22045e-15	0
0.7	-139.2	1	16	-6.59472e-14	0
0.8	-140.8	1	16	-9.10383e-15	0
0.9	-142.4	1	16	2.62013e-14	0
1	-144	1	16	0	0
