1/beta	E	M	C	X
0.5	-2250	9.02268e+07	8.14089e+15	0	0
0.501253	-2250	9.02268e+07	8.14089e+15	0	0
0.502513	-2250	9.02268e+07	8.14089e+15	0	0
0.503778	-2250	9.02268e+07	8.14089e+15	0	0
0.505051	-2250	9.02268e+07	8.14089e+15	0	0
0.506329	-2250	9.02268e+07	8.14089e+15	0	0
0.507614	-2250	9.02268e+07	8.14089e+15	0	0
0.508906	-2250	9.02268e+07	8.14089e+15	0	0
0.510204	-2250	9.02268e+07	8.14089e+15	0	0
0.511509	-2250	9.02268e+07	8.14089e+15	0	0
0.512821	-2250	9.02268e+07	8.14089e+15	0	0
0.514139	-2250	9.02268e+07	8.14089e+15	0	0
0.515464	-2250	9.02268e+07	8.14089e+15	0	0
0.516796	-2250	9.02268e+07	8.14089e+15	0	0
0.518135	-2250	9.02268e+07	8.14089e+15	0	0
0.519481	-2250	9.02268e+07	8.14089e+15	0	0
0.520833	-2250	9.02268e+07	8.14089e+15	0	0
0.522193	-2250	9.02268e+07	8.14089e+15	0	0
0.52356	-2250	9.02268e+07	8.14089e+15	0	0
0.524934	-2250	9.02268e+07	8.14089e+15	0	0
0.526316	-2250	9.02268e+07	8.14089e+15	0	0
0.527704	-2250	9.02268e+07	8.14089e+15	0	0
0.529101	-2250	9.02268e+07	8.14089e+15	0	0
0.530504	-2250	9.02268e+07	8.14089e+15	0	0
0.531915	-2250	9.02268e+07	8.14089e+15	0	0
0.533333	-2250	9.02268e+07	8.14089e+15	0	0
0.534759	-2250	9.02268e+07	8.14089e+15	0	0
0.536193	-2250	9.02268e+07	8.14089e+15	0	0
0.537634	-2250	9.02268e+07	8.14089e+15	0	0
0.539084	-2250	9.02268e+07	8.14089e+15	0	0
0.540541	-2250	9.02268e+07	8.14089e+15	0	0
0.542005	-2250	9.02268e+07	8.14089e+15	0	0
0.543478	-2250	9.02268e+07	8.14089e+15	0	0
0.544959	-2250	9.02268e+07	8.14089e+15	0	0
0.546448	-2250	9.02268e+07	8.14089e+15	0	0
0.547945	-2250	9.02268e+07	8.14089e+15	0	0
0.549451	-2250	9.02268e+07	8.14089e+15	0	0
0.550964	-2250	9.02268e+07	8.14089e+15	0	0
0.552486	-2250	9.02268e+07	8.14089e+15	0	0
0.554017	-2250	9.02268e+07	8.14089e+15	0	0
0.555556	-2250	9.02268e+07	8.14089e+15	0	0
0.557103	-2250	9.02268e+07	8.14089e+15	0	0
0.558659	-2250	9.02268e+07	8.14089e+15	0	0
0.560224	-2250	9.02268e+07	8.14089e+15	0	0
0.561798	-2250	9.02268e+07	8.14089e+15	0	0
0.56338	-2250	9.02268e+07	8.14089e+15	0	0
0.564972	-2250	9.02268e+07	8.14089e+15	0	0
0.566572	-2250	9.02268e+07	8.14089e+15	0	0
0.568182	-2250	9.02268e+07	8.14089e+15	0	0
0.569801	-2250	9.02268e+07	8.14089e+15	0	0
0.571429	-2250	9.02268e+07	8.14089e+15	0	0
0.573066	-2250	9.02268e+07	8.14089e+15	0	0
0.574713	-2250	9.02268e+07	8.14089e+15	0	0
0.576369	-2250	9.02268e+07	8.14089e+15	0	0
0.578035	-2250	9.02268e+07	8.14089e+15	0	0
0.57971	-2250	9.02268e+07	8.14089e+15	0	0
0.581395	-2250	9.02268e+07	8.14089e+15	0	0
0.58309	-2250	9.02268e+07	8.14089e+15	0	0
0.584795	-2250	9.02268e+07	8.14089e+15	0	0
0.58651	-2250	9.02268e+07	8.14089e+15	0	0
0.588235	-2250	9.02268e+07	8.14089e+15	0	0
0.589971	-2250	9.02268e+07	8.14089e+15	0	0
0.591716	-2250	9.02268e+07	8.14089e+15	0	0
0.593472	-2250	9.02268e+07	8.14089e+15	0	0
0.595238	-2250	9.02268e+07	8.14089e+15	0	0
0.597015	-2250	9.02268e+07	8.14089e+15	0	0
0.598802	-2250	9.02268e+07	8.14089e+15	0	0
0.600601	-2250	9.02268e+07	8.14089e+15	0	0
0.60241	-2250	9.02268e+07	8.14089e+15	0	0
0.60423	-2250	9.02268e+07	8.14089e+15	0	0
0.606061	-2250	9.02268e+07	8.14089e+15	0	0
0.607903	-2250	9.02268e+07	8.14089e+15	0	0
0.609756	-2250	9.02268e+07	8.14089e+15	0	0
0.611621	-2250	9.02268e+07	8.14089e+15	0	0
0.613497	-2250	9.02268e+07	8.14089e+15	0	0
0.615385	-2250	9.02268e+07	8.14089e+15	0	0
0.617284	-2250	9.02268e+07	8.14089e+15	0	0
0.619195	-2250	9.02268e+07	8.14089e+15	0	0
0.621118	-2250	9.02268e+07	8.14089e+15	0	0
0.623053	-2250	9.02268e+07	8.14089e+15	0	0
0.625	-2250	9.02268e+07	8.14089e+15	0	0
0.626959	-2250	9.02268e+07	8.14089e+15	0	0
0.628931	-2250	9.02268e+07	8.14089e+15	0	0
0.630915	-2250	9.02268e+07	8.14089e+15	0	0
0.632911	-2250	9.02268e+07	8.14089e+15	0	0
0.634921	-2250	9.02268e+07	8.14089e+15	0	0
0.636943	-2250	9.02268e+07	8.14089e+15	0	0
0.638978	-2250	9.02268e+07	8.14089e+15	0	0
0.641026	-2250	9.02268e+07	8.14089e+15	0	0
0.643087	-2250	9.02268e+07	8.14089e+15	0	0
0.645161	-2250	9.02268e+07	8.14089e+15	0	0
0.647249	-2250	9.02268e+07	8.14089e+15	0	0
0.649351	-2250	9.02268e+07	8.14089e+15	0	0
0.651466	-2250	9.02268e+07	8.14089e+15	0	0
0.653595	-2250	9.02268e+07	8.14089e+15	0	0
0.655738	-2250	9.02268e+07	8.14089e+15	0	0
0.657895	-2250	9.02268e+07	8.14089e+15	0	0
0.660066	-2250	9.02268e+07	8.14089e+15	0	0
0.662252	-2250	9.02268e+07	8.14089e+15	0	0
0.664452	-2250	9.02268e+07	8.14089e+15	0	0
0.666667	-2250	9.02268e+07	8.14089e+15	0	0
0.668896	-2250	9.02268e+07	8.14089e+15	0	0
0.671141	-2250	9.02268e+07	8.14089e+15	0	0
0.673401	-2250	9.02268e+07	8.14089e+15	0	0
0.675676	-2250	9.02268e+07	8.14089e+15	0	0
0.677966	-2250	9.02268e+07	8.14089e+15	0	0
0.680272	-2250	9.02268e+07	8.14089e+15	0	0
0.682594	-2250	9.02268e+07	8.14089e+15	0	0
0.684932	-2250	9.02268e+07	8.14089e+15	0	0
