uB	E	M	M2	C	X
1	-15001.5	0.000366783	1.021	0	0
0.99	34.2656	2.0727e-06	1.02333	0	0
0.98	47.7463	-0.000291991	1.01524	0	0
0.97	-360.809	-0.000101856	1.00507	0	0
0.96	213.418	-0.000183901	0.972321	0	0
0.95	-120.608	-0.000191685	1.00278	0	0
0.94	-210.6	0.00121729	1.07099	0	0
0.93	181.496	-0.000299337	0.964787	0	0
0.92	527.118	-0.000304054	1.03101	0	0
0.91	216.917	-0.000291407	1.00837	0	0
0.9	513.99	0.00179296	1.05085	0	0
0.89	0.0314769	6.19632e-06	1.00391	0	0
0.88	-179.58	2.63537e-05	0.996234	0	0
0.87	120.513	1.08782e-05	0.953456	0	0
0.86	-190.792	-0.000324474	0.99971	0	0
0.85	-299.55	-4.23089e-05	0.98853	0	0
0.84	-155.216	8.6409e-05	0.991941	0	0
0.83	-23.4205	2.87579e-05	0.983618	0	0
0.82	275.976	-0.00034582	0.9821	0	0
0.81	335.238	-0.000274987	1.00544	0	0
0.8	-107.972	-0.000164047	1.0055	0	0
0.79	-118.003	-0.000357954	1.00513	0	0
0.78	372.199	-0.000217482	1.00922	0	0
0.77	-38.1883	-0.000720459	1.00809	0	0
0.76	70.0314	0.000755171	0.98162	0	0
0.75	229.577	0.000184805	0.985467	0	0
0.74	11.347	0.000136981	0.992675	0	0
0.73	276.824	-0.00013676	0.99375	0	0
0.72	229.149	-0.000132153	0.996218	0	0
0.71	-395.285	3.99351e-06	1.01538	0	0
0.7	145.673	-0.000499298	1.00807	0	0
0.69	-107.47	0.000677137	1.00089	0	0
0.68	361.343	-0.000193265	1.01489	0	0
0.67	-369.64	-9.30713e-05	1.00016	0	0
0.66	84.9819	-0.000241749	1.00747	0	0
0.65	238.309	0.000530309	0.979425	0	0
0.64	251.768	-4.45881e-06	0.976502	0	0
0.63	214.995	0.000380826	0.999523	0	0
0.62	-179.258	-0.000432097	0.991161	0	0
0.61	360.887	3.26237e-05	1.00122	0	0
0.6	121.099	-0.000401476	0.989969	0	0
0.59	-361.602	-0.000129021	0.998567	0	0
0.58	9.98794	0.000309774	1.01034	0	0
0.57	-10.7403	-0.000578288	0.90074	0	0
0.56	-552.261	4.2555e-05	0.994007	0	0
0.55	-59.1821	-6.73473e-05	0.98384	0	0
0.54	-205.196	0.000880475	1.01139	0	0
0.53	192.337	-7.50238e-05	1.00844	0	0
0.52	288.424	-0.000470896	0.988342	0	0
0.51	-276.396	-3.71281e-07	0.977748	0	0
0.5	252.726	-0.000256383	1.00077	0	0
0.49	-37.5477	0.000298959	0.988417	0	0
0.48	-408.335	8.82501e-05	0.99453	0	0
0.47	178.471	-9.5421e-06	0.999177	0	0
0.46	-395.844	-0.00100776	0.919656	0	0
0.45	-70.8262	-0.000211615	0.984174	0	0
0.44	-146.764	-0.000217741	1.04878	0	0
0.43	-228.317	-0.000226461	0.975812	0	0
0.42	168.925	-0.000393328	1.05695	0	0
0.41	301.127	-9.27465e-05	1.00659	0	0
0.4	-96.094	-1.69258e-05	1.02301	0	0
0.39	512.721	0.00050063	0.991784	0	0
0.38	48.8555	0.000657245	1.02983	0	0
0.37	72.6565	-0.000141838	0.999296	0	0
0.36	84.1539	0.000137707	0.974335	0	0
0.35	-324.208	-6.22788e-05	1.00407	0	0
0.34	-36.8537	0.000406206	0.965448	0	0
0.33	92.5244	0.000815099	1.00614	0	0
0.32	-60.766	-0.000114434	1.00191	0	0
0.31	-109.014	3.86321e-05	0.988171	0	0
0.3	-216.785	0.00256003	1.0562	0	0
0.29	168.191	-0.000436585	0.982367	0	0
0.28	-191.526	0.000174772	0.980095	0	0
0.27	-395.72	3.97657e-05	1.01328	0	0
0.26	-49.9196	-0.000803618	1.06939	0	0
0.25	192.972	-0.000417657	0.979772	0	0
0.24	49.1338	-0.000109566	0.92466	0	0
0.23	312.544	0.000312702	0.975334	0	0
0.22	24.7327	-0.000208858	1.00203	0	0
0.21	-265.242	-0.00030714	0.997843	0	0
0.2	431.641	-0.000394581	1.00172	0	0
0.19	-44.83	-0.00873554	0.926534	0	0
0.18	-201.313	0.000216533	0.958765	0	0
0.17	-207.877	0.00408915	1.27444	0	0
0.16	-179.757	0.000372458	0.993265	0	0
0.15	180.5	-0.000630761	0.972301	0	0
0.14	398.916	0.000122789	0.988929	0	0
0.13	-36.9053	3.84416e-05	0.998386	0	0
0.12	-325.026	-0.000922639	1.00521	0	0
0.11	275.881	-0.000320763	0.939091	0	0
0.1	-132.736	0.000536893	1.00295	0	0
0.09	612.054	-0.000550375	0.9859	0	0
0.08	-45.1797	0.000335602	1.0069	0	0
0.07	-179.967	0.00027488	0.994492	0	0
0.06	203.75	0.000151404	0.992066	0	0
0.05	-264.106	-0.00023357	1.01445	0	0
0.04	60.8879	-1.51406e-05	0.99405	0	0
0.03	-491.269	-2.74256e-05	1.0491	0	0
0.02	-178.9	-0.000498501	0.995894	0	0
0.01	-180.138	-0.000326049	1.00555	0	0
-7.5287e-16	-36.3553	-0.000321805	0.978014	0	0
-0.01	-45.8151	-2.05978e-05	0.994968	0	0
-0.02	-71.547	-4.70403e-05	1.00433	0	0
-0.03	-441.637	0.00088509	0.988797	0	0
-0.04	131.955	8.48939e-05	1.00166	0	0
-0.05	121.258	0.000507548	0.996781	0	0
-0.06	95.5456	-0.00043976	1.01004	0	0
-0.07	-251.792	-0.000152099	1.00797	0	0
-0.08	114.513	0.000123104	1.06094	0	0
-0.09	-371.646	-0.000117481	0.98587	0	0
-0.1	214.699	-0.000642593	1.0197	0	0
-0.11	-60.0501	4.67012e-05	0.99342	0	0
-0.12	107.499	-0.000590374	1.00643	0	0
-0.13	239.086	0.000448734	1.03525	0	0
-0.14	35.5606	4.37245e-05	0.999622	0	0
-0.15	179.813	0.000388046	0.988737	0	0
-0.16	35.9261	0.000596579	1.0041	0	0
-0.17	286.521	-0.000574565	1.00398	0	0
-0.18	-216.425	0.000280334	0.984202	0	0
-0.19	131.281	-6.81513e-05	1.02548	0	0
-0.2	243.274	0.000422542	1.02565	0	0
-0.21	-107.822	-0.000223625	1.00006	0	0
-0.22	-0.40549	-4.84609e-05	1.00389	0	0
-0.23	384.797	-0.000766321	1.0062	0	0
-0.24	-47.6118	0.000229528	0.986615	0	0
-0.25	-252.372	-0.00030053	1.01906	0	0
-0.26	360.646	0.000499939	1.01362	0	0
-0.27	-154.467	-0.00025663	0.99442	0	0
-0.28	-229.477	0.00102503	1.00851	0	0
-0.29	50.4822	0.00125095	0.946706	0	0
-0.3	-274.229	0.00111151	0.878895	0	0
-0.31	181.556	-0.000693499	1.03627	0	0
-0.32	-26.3163	-0.000387082	0.973958	0	0
-0.33	145.519	0.000249729	0.984626	0	0
-0.34	-156.983	0.000287246	1.00585	0	0
-0.35	310.483	-0.00147113	1.045	0	0
-0.36	-453.24	0.000790829	0.992785	0	0
-0.37	-276.791	-0.000244941	0.96924	0	0
-0.38	548.662	-0.000172494	1.07105	0	0
-0.39	-273.367	-0.000981609	0.84609	0	0
