uB	E	M	M2	C	X
-1	-22433.2	-0.994532	2472.75	0.102872	0.00745843
-0.99	-22288.6	-0.994535	2472.76	0.104392	0.00768444
-0.98	-22262.3	-0.994467	2472.42	0.0852138	0.00614889
-0.97	-22235.6	-0.994276	2471.48	0.0981844	0.00733053
-0.96	-22246.3	-0.994237	2471.28	0.103079	0.00770538
-0.95	-22134.4	-0.993976	2469.98	0.106558	0.00792607
-0.94	-22045.3	-0.994659	2473.38	0.0903709	0.00679126
-0.93	-22168.9	-0.993995	2470.08	0.113626	0.00850904
-0.92	-22107	-0.993909	2469.65	0.108709	0.00826315
-0.91	-22034	-0.99389	2469.56	0.105639	0.00799674
-0.9	-21959.1	-0.993701	2468.62	0.109005	0.0085066
-0.89	-21978.2	-0.993381	2467.03	0.111908	0.00855131
-0.88	-22002.3	-0.99345	2467.37	0.116406	0.00897373
-0.87	-22002.1	-0.993471	2467.48	0.109102	0.00864198
-0.86	-21807.2	-0.993322	2466.74	0.114696	0.00899049
-0.85	-21903.1	-0.993375	2467	0.115964	0.00920268
-0.84	-21859.8	-0.993879	2469.5	0.0714041	0.00551166
-0.83	-21765.8	-0.993058	2465.43	0.11912	0.00950475
-0.82	-21845.6	-0.992775	2464.02	0.126888	0.0102076
-0.81	-21703.3	-0.993003	2465.15	0.109776	0.00879948
-0.8	-21820	-0.992774	2464.02	0.120144	0.00975308
-0.79	-21686.4	-0.991668	2458.53	0.0783778	0.0065615
-0.78	-21698.3	-0.992763	2463.96	0.120695	0.00994643
-0.77	-21550.6	-0.992499	2462.65	0.126749	0.0104996
-0.76	-21575.4	-0.992679	2463.55	0.133392	0.0108474
-0.75	-21535.2	-0.992359	2461.96	0.131072	0.0108889
-0.74	-21607.3	-0.992391	2462.12	0.132795	0.0115233
-0.73	-21597.2	-0.992645	2463.38	0.134614	0.0114917
-0.72	-21515.7	-0.991894	2459.65	0.130947	0.011156
-0.71	-21561.8	-0.99178	2459.09	0.133548	0.0114782
-0.7	-21324.1	-0.992068	2460.52	0.13976	0.0118356
-0.69	-21254.1	-0.989117	2445.91	0.184079	0.0168348
-0.68	-21138.4	-0.990699	2453.74	0.164883	0.013843
-0.67	-21360.7	-0.99125	2456.46	0.128477	0.0112646
