1/beta	E	M	C	X
1	-1796.5	0.998979	0.997961	0.0338068	0.00237981
1.001	-1797.34	0.999247	0.998497	0.024978	0.00167477
1.002	-1797.98	0.999438	0.998877	0.017254	0.00109226
1.00301	-1797.54	0.9993	0.998602	0.0234981	0.00159419
1.00402	-1800	1	1	0	0
1.00503	-1796.9	0.999116	0.998235	0.0287092	0.00199913
1.00604	-1797.26	0.999227	0.998457	0.0245118	0.00161351
1.00705	-1797.32	0.999233	0.998468	0.0259169	0.00184108
1.00806	-1798.38	0.999546	0.999093	0.0151054	0.000973015
1.00908	-1796.71	0.999036	0.998075	0.0265057	0.00201068
1.0101	-1797.42	0.999255	0.998513	0.0235169	0.00168735
1.01112	-1797.16	0.999195	0.998392	0.0259241	0.00175953
1.01215	-1798.38	0.999548	0.999097	0.0160491	0.00102784
1.01317	-1797.15	0.999185	0.998374	0.0304414	0.00210114
1.0142	-1797.42	0.999268	0.998537	0.0215769	0.00148378
1.01523	-1796.32	0.998928	0.997861	0.0305132	0.00224433
1.01626	-1796.63	0.999046	0.998094	0.0274907	0.00187091
1.01729	-1797.73	0.999354	0.998711	0.0192568	0.00132319
1.01833	-1796.85	0.999091	0.998185	0.0277403	0.00206257
1.01937	-1796.86	0.999082	0.998169	0.031729	0.00251983
1.02041	-1797.37	0.99925	0.998503	0.027129	0.00190788
1.02145	-1797.21	0.999208	0.998418	0.0277031	0.00188765
1.02249	-1797.8	0.999385	0.998772	0.0169575	0.00110823
1.02354	-1797.51	0.9993	0.998603	0.018668	0.00124035
1.02459	-1796.91	0.999092	0.998187	0.0296321	0.00239289
1.02564	-1796.95	0.999147	0.998296	0.0246878	0.00162558
1.02669	-1797.72	0.999366	0.998735	0.0226172	0.00145131
1.02775	-1796.77	0.999085	0.998174	0.0275691	0.00189959
1.02881	-1797.11	0.999183	0.99837	0.0274018	0.00184418
1.02987	-1796.47	0.998992	0.997987	0.0271092	0.00192441
1.03093	-1796.35	0.998959	0.997921	0.0301531	0.00212586
1.03199	-1795.73	0.998813	0.99763	0.0414318	0.00267646
1.03306	-1796.34	0.998958	0.99792	0.0287266	0.0020318
1.03413	-1796.04	0.998881	0.997767	0.0378194	0.00255078
1.0352	-1797.64	0.999344	0.99869	0.0213172	0.00137922
1.03627	-1795.92	0.998829	0.997662	0.0272095	0.00196935
1.03734	-1797.02	0.999153	0.998308	0.0268941	0.00185784
1.03842	-1796.19	0.998912	0.997828	0.0343376	0.00243015
1.0395	-1796.16	0.998901	0.997807	0.0336977	0.00241042
1.04058	-1796.93	0.999129	0.998261	0.0254514	0.00179595
1.04167	-1796.84	0.999108	0.998219	0.0266417	0.00181469
1.04275	-1796.33	0.998953	0.997909	0.029921	0.00213613
1.04384	-1796.45	0.998997	0.997997	0.0295707	0.00203783
1.04493	-1796.51	0.998999	0.998002	0.030321	0.0022283
1.04603	-1795.1	0.998598	0.997202	0.0410085	0.00289395
1.04712	-1795.87	0.998836	0.997676	0.0346021	0.00240318
1.04822	-1795.33	0.99867	0.997344	0.0352996	0.00256156
1.04932	-1796.75	0.999053	0.998109	0.0280617	0.00216524
1.05042	-1797.37	0.999264	0.998531	0.024581	0.00165639
1.05152	-1797.06	0.999169	0.99834	0.0181514	0.00126818
1.05263	-1795.81	0.998789	0.997582	0.0340901	0.00274244
1.05374	-1795.9	0.998829	0.997661	0.0299497	0.00214237
1.05485	-1799.3	0.999807	0.999614	0.00507579	0.000334638
1.05597	-1796.28	0.998941	0.997886	0.0332606	0.002351
1.05708	-1795.79	0.998809	0.997622	0.0346314	0.00247071
1.0582	-1796.2	0.998929	0.997861	0.027364	0.00188543
1.05932	-1795.49	0.998709	0.997423	0.0330039	0.00242874
1.06045	-1796.19	0.998914	0.997831	0.0282351	0.00202833
1.06157	-1795.96	0.998852	0.997709	0.0318784	0.00229772
1.0627	-1795.68	0.998748	0.997502	0.0388923	0.00295899
1.06383	-1797.17	0.999205	0.998412	0.0217728	0.00152218
1.06496	-1795.78	0.998795	0.997594	0.03458	0.0025418
1.0661	-1795.97	0.998849	0.997702	0.0327287	0.00243577
1.06724	-1795.74	0.998792	0.997588	0.0292055	0.00211039
1.06838	-1795.78	0.998781	0.997567	0.0354535	0.00271967
1.06952	-1795.21	0.998633	0.99727	0.0399482	0.00296095
1.07066	-1796.06	0.998856	0.997716	0.032498	0.00250272
1.07181	-1795.76	0.998801	0.997607	0.0341772	0.00241948
1.07296	-1795.7	0.998778	0.99756	0.0350352	0.00253459
1.07411	-1795.79	0.998815	0.997633	0.0318324	0.00226073
1.07527	-1795.63	0.998746	0.997497	0.0347761	0.00262069
1.07643	-1794.68	0.998497	0.997001	0.0422132	0.00303853
1.07759	-1796.48	0.999011	0.998026	0.0299046	0.00208595
1.07875	-1796.31	0.998936	0.997876	0.0270601	0.00209057
1.07991	-1795.34	0.998677	0.99736	0.0501013	0.0035781
1.08108	-1795.1	0.998614	0.997233	0.0370439	0.0026738
1.08225	-1794.78	0.998512	0.997031	0.0422618	0.00314217
1.08342	-1795.15	0.998608	0.99722	0.0387198	0.00294174
1.0846	-1794.36	0.998384	0.996774	0.03232	0.00244556
1.08578	-1796.19	0.998932	0.997867	0.0297834	0.00210634
