1/beta	E	M	C	X
1	-199.642	0.999099	0.998219	0.0322492	0.0020591
1.0101	-199.904	0.99976	0.999525	0.00744003	0.000469699
1.02041	-199.543	0.99885	0.997725	0.0342836	0.00223453
1.03093	-199.881	0.999703	0.999411	0.00882292	0.000568487
1.04167	-199.643	0.999073	0.998168	0.0270345	0.00200184
1.05263	-199.76	0.999377	0.998769	0.0178003	0.00132319
1.06383	-199.577	0.998928	0.99788	0.0311392	0.00219103
1.07527	-199.638	0.999094	0.998206	0.0239385	0.00160877
1.08696	-199.61	0.999013	0.998048	0.0266612	0.00189149
1.0989	-199.751	0.999378	0.998768	0.0159726	0.00109702
1.11111	-199.281	0.99819	0.996419	0.0444087	0.00315401
1.1236	-199.393	0.99843	0.996899	0.0415003	0.00329121
1.13636	-199.189	0.997884	0.995824	0.0544647	0.00452895
1.14943	-199.141	0.997765	0.995587	0.0541215	0.00445904
1.16279	-199.024	0.997479	0.995019	0.0593258	0.00481245
1.17647	-198.898	0.997143	0.994361	0.0675107	0.00560148
1.19048	-199.197	0.997915	0.995882	0.0480179	0.00408654
1.20482	-198.784	0.996812	0.993714	0.0725435	0.00658607
1.21951	-198.601	0.99627	0.992652	0.0825923	0.00806252
1.23457	-198.639	0.996419	0.992937	0.076183	0.00702656
1.25	-198.317	0.99555	0.991226	0.089001	0.00843575
1.26582	-198.276	0.995413	0.99096	0.0916084	0.00886622
1.28205	-198.307	0.99559	0.991303	0.0887071	0.0081242
1.2987	-198.104	0.995022	0.990191	0.0962183	0.00938968
1.31579	-197.72	0.993835	0.98787	0.113406	0.0123209
1.33333	-198.007	0.994774	0.98968	0.0812627	0.00788981
1.35135	-197.889	0.994433	0.989023	0.0941151	0.0092792
1.36986	-197.293	0.992737	0.985719	0.128085	0.0140475
1.38889	-196.919	0.991844	0.983956	0.136668	0.0145439
1.40845	-196.667	0.990972	0.982275	0.149607	0.0176758
1.42857	-196.197	0.989647	0.979679	0.163267	0.0194639
1.44928	-196.07	0.989516	0.97938	0.148803	0.016383
1.47059	-195.75	0.988366	0.977217	0.179728	0.0237886
1.49254	-195.517	0.987737	0.975959	0.17517	0.0224467
1.51515	-194.589	0.985025	0.970727	0.216348	0.0298555
1.53846	-194.509	0.984581	0.969916	0.215978	0.033476
1.5625	-193.822	0.982626	0.966125	0.238076	0.0365854
1.5873	-193.975	0.983664	0.968076	0.222601	0.0302327
1.6129	-192.38	0.978144	0.95754	0.28266	0.0479738
1.63934	-190.924	0.972865	0.947505	0.3448	0.0633756
1.66667	-190.547	0.972395	0.946638	0.334015	0.0651897
1.69492	-190.326	0.971988	0.945746	0.317411	0.0582103
1.72414	-189.176	0.967958	0.938241	0.357594	0.0752652
1.75439	-188.036	0.965511	0.933235	0.346041	0.0582785
1.78571	-185.704	0.955659	0.915514	0.469174	0.124877
1.81818	-185.536	0.955503	0.915023	0.449418	0.111988
1.85185	-162.54	0.871153	0.764849	0.980524	0.3208
1.88679	-181.089	0.939708	0.886157	0.547177	0.164682
1.92308	-179.985	0.934936	0.877712	0.564475	0.187528
1.96078	-177.387	-0.688745	0.857361	0.654531	19.5326
2	-174.334	0.1457	0.83336	0.781062	40.6066
2.04082	-171.802	-0.712474	0.816853	0.793937	15.1524
2.08333	-167.731	-0.5692	0.782738	0.914954	22.02
2.12766	-164.965	-0.87711	0.774948	0.590987	0.264373
2.17391	-158.779	0.244494	0.710482	1.10674	29.9324
2.22222	-152.502	0.206	0.652017	1.21664	27.4312
